id,Name,image-date,Infrastructure,Source,File Path,notes,is part of,Events,File,Ecosystem
1,1978-80. Images of the drilling rig at El Borma,,,,,,,,,
2,Valutazione delle riserve al 31-3-1966,31/03/1966,El Borma,Mappa campo di El Borma per livelli,/Users/camillafalanesca/Databases/infrastructures/images/AGIP_RP_MIS_B41_0221.png,,,,,
4,Valutazione delle riserve al 31-3-1966 (2),31/03/1966,El Borma,Mappa Geological Campo di El Borma,/Users/camillafalanesca/Databases/infrastructures/images/AGIP_RP_MIS_B41_0222.png,,Valutazione delle riserve al 31-3-1966,,,
3,Campo di El Borma: Sezione Geologica nel Pool Petrolifero,31/03/1966,El Borma,Mappa Geological Campo di El Borma,/Users/camillafalanesca/Databases/infrastructures/images/AGIP_RP_MIS_B41_019.png,,,,Screenshot 2026-05-23 at 4.55.33PM.png (http://localhost/media/user_files/Ts7HLf3b0dyig51c2khGOORkjFaaZZog_819436ed5f49a76de9a79eacb897989ea023f4781be78e143689bc4459ea6d5d.png),
5,Access road construction,01/01/1963,El Borma,1963_Appunti a mano su attività esplorativa della SITEP 1961-1963,github/ENI_AF_B4_F301_09.jpeg,,,Infrastructure - access road and airstrip,ENI_AF_B4_F301_09.jpeg (http://localhost/media/user_files/0RhYIUm7JDsX20z98i4DYHb9r2Xi0RJB_3e40d6c996f028ec7a8da4e95a9b89cfd193f3e7325460a8acd651db8e870794.jpeg),
6,Access road construction (2),01/01/1963,El Borma,1963_Appunti a mano su attività esplorativa della SITEP 1961-1963,github/ENI_AF_B4_F301_22.jpeg,,Access road construction,Infrastructure - access road and airstrip,ENI_AF_B4_F301_022.jpeg (http://localhost/media/user_files/IVD747uKTG5GGDfch5JbgiPQq643PlyC_09749b6d1a7af44f035d9efe64a57361a71034c6178189cd87304209430eb2a0.jpeg),
7,Access road construction (3),01/01/1963,El Borma,1963_Appunti a mano su attività esplorativa della SITEP 1961-1963,github/ENI_AF_B4_F301_26.jpeg,,Access road construction,Infrastructure - access road and airstrip,ENI_AF_B4_F301_026.jpeg (http://localhost/media/user_files/zvKo5woKTOaskYINeFP01PdVqIwOmlDN_f35dd7d0fa2af8f5047bcf114653d81438f4c184a4fa8e20f24c69fe4bc04734.jpeg),
8,Access road construction (4),01/01/1963,El Borma,1963_Appunti a mano su attività esplorativa della SITEP 1961-1963,github/ENI_AF_B4_F301_27.jpeg,,Access road construction,Infrastructure - access road and airstrip,ENI_AF_B4_F301_027.jpeg (http://localhost/media/user_files/zr3Gv6eC1p2scHH8nGiEivfUvV3710uw_545730b709fedd7177eab3d34089485bbba8a67299bc004df787a68ebaedcb1b.jpeg),
19,Access road construction (5),01/01/1963,El Borma,1963_Appunti a mano su attività esplorativa della SITEP 1961-1963,github/ENI_AF_B4_F301_28.jpeg,,Access road construction,Infrastructure - access road and airstrip,ENI_AF_B4_F301_028.jpeg (http://localhost/media/user_files/caBd9kbybI8Yh37zuL8WdPZIR8YQwXbY_beab9ca3825eab2d201f5132f520ef5075dc330dbcb8e02773d7cd2e0bfa6143.jpeg),
11,Border Signaling after Incident with Standard,01/03/1970,El Borma,Staffetta Quotidiana su El Borma e confini,github/ENI_AF_D4_A1_80.jpeg,,,Production - Incident with well drilling & borders,ENI_AF_D4_A1_80.jpeg (http://localhost/media/user_files/wmyKymFdQATrAGLtq1VWUimyaanR0drE_faa544a9b6ff80d09ba745400841ef6f5d90edcedbf2d8ae33ef5c566ca59e38.jpeg),
12,Border Signaling after Incident with Standard,01/03/1970,El Borma,Staffetta Quotidiana su El Borma e confini,github/ENI_AF_D4_A1_81.jpeg,,Border Signaling after Incident with Standard,Production - Incident with well drilling & borders,ENI_AF_D4_A1_81.jpeg (http://localhost/media/user_files/FFbzcnaTWDNOUy4zjXmDInTe9J8wAGDJ_0d1b974f5e5b5d18600e780b4bf5df1c96519da2226aad2acd165bde23e92e7e.jpeg),
13,Border Signaling after Incident with Standard,01/03/1970,El Borma,Staffetta Quotidiana su El Borma e confini,github/ENI_AF_D4_A1_83.jpeg,,Border Signaling after Incident with Standard,Production - Incident with well drilling & borders,ENI_AF_D4_A1_83.jpeg (http://localhost/media/user_files/445V3MJCBFBzbWmKFjd16BRS1mnEJ0Te_cfe2c9ba2e6ece5441426774e289adffcf94eeb95f935af7d82929c2f9998beb.jpeg),
16,Aerial view of temporary geological field camp (polaroid),01/01/1961,El Borma,,github/ENI_AF_D4_A1_14,,,Exploration - preliminary geological reconnaissance,ENI_AF_D4_A1_14.jpeg (http://localhost/media/user_files/kYmjK4fCpTpbZPcPvFjQU3GIy2l3xBIa_bd6136af36c6738f73bdc1d428a5fb0d8b12dd52fa02e9d0e9c4391ec088c27e.jpeg),
17,DC-3 supply aircraft and Bell 47 helicopter on desert airstrip,,El Borma,1963_Appunti a mano su attività esplorativa della SITEP 1961-1963,github/ENI_AF_D4_A1_23,,,Exploration - geological survey,ENI_AF_D4_A1_23.jpeg (http://localhost/media/user_files/UMni4SV50A8Mna03XQ58TVOm5Vv7k7Qk_8de238ac80d26ddb68b3884a2acd0af9a3c6b8e82a820828ef0485c10f846c76.jpeg),
18,Controlled explosion for seismic surveys at El Borma,01/01/1963,El Borma,1963_Appunti a mano su attività esplorativa della SITEP 1961-1963,github/ENI_AF_D4_A1_21,,,Exploration - seismic & topographic survey,ENI_AF_D4_A1_21.jpeg (http://localhost/media/user_files/JDDOhLgnyBoVzkC7C5kzqEHhTJr12RUZ_bda4daa60d5103082fd6517a128b7b61acd168a178ce0b2bba5d37dd8e15826b.jpeg),
22,View from the top of seismic surveys at El Borma,,El Borma,,ENI_AF_D4_A1_20,,Controlled explosion for seismic surveys at El Borma,Exploration - seismic & topographic survey,ENI_AF_D4_A1_20.jpeg (http://localhost/media/user_files/sT3i3cZuVIgqynZhXDmmTHaiYJDxIUhL_601e6d0759ead965914f0d168fb8aad11a6e7de1815311bf6e60ddfd8c4ff725.jpeg),
23,View from the top of seismic surveys at El Borma (2),01/01/1963,El Borma,1963_Appunti a mano su attività esplorativa della SITEP 1961-1963,,,Controlled explosion for seismic surveys at El Borma,Exploration - seismic & topographic survey,ENI_AF_D4_A1_19.jpeg (http://localhost/media/user_files/NEzDD3bvuSw3zF2fEzht6WXs1Jtd9QhZ_85c325f5b0ef5a00be9d60f6341bdcdbda75d3f9e39974010b5313bac05053bd.jpeg),
24,Aerial view of temporary geological field (2),,,,github/ENI_AF_D4_A1_13.jpeg,,Aerial view of temporary geological field camp (polaroid),Exploration - preliminary geological reconnaissance,ENI_AF_D4_A1_13.jpeg (http://localhost/media/user_files/6Sbmk2dSuP34nTWWEoJLoSmAWxTSNpMF_d031be20e56dddb975cf316737e8f04a5f7c0c330bc58f138e97ad5d76dd34ed.jpeg),
